INSERT into payments (OrderNumber, paymentType, CID, AmountPaid, Gratuity) VALUES
(1231, credit, 685, 100.0, 0.0),
(1232, debit, 712, 60.0, 0.0),
(1233, cash, 264, 40.00, 0.0),
(1233, cash, 264, 40.00, 0.0),
(1234, debit, 380, 60.0, 0.0),
(1235, credit, 52, 20.0, 0.0),
(1236, cash, 29, 100.0, 0.0),
(1237, credit, 850, 80.0, 0.0),
(1238, cash, 283, 100.0, 0.0),
(1239, credit, 421, 13.5, 0.0),
(1240, credit, 534, 6.25, 0.0),
(1240, credit, 534, 6.25, 0.0),
(1241, debit, 595, 93.5, 0.0),
(1242, cash, 880, 2.50, 2.00),
(1242, debit, 880, 2.50, 2.00),
(1242, debit, 880, 2.50, 2.00),
(1242, cash, 880, 2.50, 2.00),
(1242, debit, 880, 2.50, 2.00),
(1243, debit, 165, 65.25, 0.0),
(1243, cash, 165, 65.25, 0.0),
(1244, cash, 402, 85.5, 0.0),
(1245, debit, 980, 94.0, 0.0),
(1246, debit, 163, 85.5, 0.0),
(1247, debit, 171, 6.75, 0.0),
(1247, debit, 171, 6.75, 0.0),
(1248, debit, 224, 28.13, 2.50),
(1248, credit, 224, 28.13, 2.50),
(1248, credit, 224, 28.13, 2.50),
(1248, cash, 224, 28.13, 2.50),
(1249, cash, 745, 122.0, 0.0),
(1250, debit, 73, 7.25, 0.0),
(1250, cash, 73, 7.25, 0.0),
(1251, debit, 539, 61.5, 0.0),
(1252, cash, 651, 17.5, 0.0),
(1253, credit card, 957, 33.5, 0.0),
(1254, credit, 106, 44.5, 0.0),
(1255, cash, 594, 5.25, 0.0),
(1255, cash, 594, 5.25, 0.0),
(1256, cash, 662, 10.5, 0.0),
(1257, cash, 648, 10.50, 0.0),
(1257, cash, 648, 10.50, 0.0),
(1258, credit, 378, 4.75, 0.0),
(1258, debit, 378, 4.75, 0.0),
(1259, cash, 655, 87.0, 0.0),
(1260, cash, 170, 6.25, 0.0),
(1260, debit, 170, 6.25, 0.0),
(1261, debit, 705, 14.25, 2.50),
(1261, cash, 705, 14.25, 2.50),
(1261, credit, 705, 14.25, 2.50),
(1261, credit, 705, 14.25, 2.50),
(1262, debit, 957, 9.5, 0.0),
(1263, debit, 62, 13.00, 2.00),
(1263, debit, 62, 13.00, 2.00),
(1263, debit, 62, 13.00, 2.00),
(1263, credit, 62, 13.00, 2.00),
(1263, cash, 62, 13.00, 2.00),
(1264, cash, 33, 6.75, 0.0),
(1264, debit, 33, 6.75, 0.0),
(1265, credit, 945, 19.75, 0.0),
(1265, cash, 945, 19.75, 0.0),
(1266, cash, 659, 79.0, 0.0),
(1267, debit, 136, 6.70, 2.00),
(1267, debit, 136, 6.70, 2.00),
(1267, cash, 136, 6.70, 2.00),
(1267, cash, 136, 6.70, 2.00),
(1267, cash, 136, 6.70, 2.00),
(1268, debit, 722, 71.0, 0.0),
(1269, credit card, 45, 27.0, 0.0),
(1270, credit card, 146, 12.5, 0.0),
(1271, credit, 232, 48.75, 0.0),
(1271, debit, 232, 48.75, 0.0),
(1272, cash, 942, 58.0, 0.0),
(1273, debit, 288, 92.5, 0.0),
(1274, credit card, 899, 12.5, 0.0),
(1275, credit, 642, 34.50, 0.0),
(1275, cash, 642, 34.50, 0.0),
(1276, credit card, 513, 44.0, 0.0),
(1277, cash, 807, 13.50, 3.33),
(1277, debit, 807, 13.50, 3.33),
(1277, credit, 807, 13.50, 3.33),
(1278, debit, 115, 56.75, 0.0),
(1278, debit, 115, 56.75, 0.0),
(1279, cash, 669, 89.5, 0.0),
(1280, cash, 843, 44.50, 0.0),
(1280, cash, 843, 44.50, 0.0),
(1281, cash, 776, 45.75, 0.0),
(1281, debit, 776, 45.75, 0.0),
(1282, credit, 902, 32.75, 0.0),
(1282, credit, 902, 32.75, 0.0),
(1283, debit, 662, 3.50, 3.33),
(1283, debit, 662, 3.50, 3.33),
(1283, cash, 662, 3.50, 3.33),
(1284, cash, 607, 38.25, 0.0),
(1284, cash, 607, 38.25, 0.0),
(1285, credit, 204, 57.5, 0.0),
(1286, debit, 781, 9.5, 0.0),
(1287, credit, 823, 12.5, 0.0),
(1288, cash, 785, 9.5, 0.0),
(1289, debit, 429, 82.0, 0.0),
(1290, cash, 349, 71.0, 0.0),
(1291, debit, 42, 78.0, 0.0),
(1292, debit, 623, 35.00, 0.0),
(1292, debit, 623, 35.00, 0.0),
(1293, credit card, 852, 24.0, 0.0),
(1294, debit, 351, 27.0, 0.0),
(1295, cash, 340, 2.90, 2.00),
(1295, cash, 340, 2.90, 2.00),
(1295, debit, 340, 2.90, 2.00),
(1295, debit, 340, 2.90, 2.00),
(1295, credit, 340, 2.90, 2.00),
(1296, credit card, 518, 14.5, 0.0),
(1297, debit, 713, 85.5, 0.0),
(1298, cash, 561, 63.5, 0.0),
(1299, credit card, 54, 108.0, 0.0),
(1300, cash, 83, 118.0, 0.0),
(1301, debit, 186, 6.75, 0.0),
(1301, cash, 186, 6.75, 0.0),
(1302, debit, 123, 45.75, 0.0),
(1302, cash, 123, 45.75, 0.0),
(1303, credit card, 403, 116.5, 0.0),
(1304, debit, 717, 12.5, 0.0),
(1305, cash, 359, 13.5, 0.0),
(1306, debit, 476, 19.25, 0.0),
(1306, cash, 476, 19.25, 0.0),
(1307, credit card, 625, 86.0, 0.0),
(1308, debit, 334, 91.5, 0.0),
(1309, credit card, 124, 96.5, 0.0),
(1310, credit card, 341, 19.5, 0.0),
(1311, credit card, 884, 21.0, 0.0),
(1312, cash, 674, 24.13, 2.50),
(1312, cash, 674, 24.13, 2.50),
(1312, debit, 674, 24.13, 2.50),
(1312, cash, 674, 24.13, 2.50),
(1313, cash, 488, 84.0, 0.0),
(1314, cash, 61, 2.88, 2.50),
(1314, debit, 61, 2.88, 2.50),
(1314, debit, 61, 2.88, 2.50),
(1314, cash, 61, 2.88, 2.50),
(1315, debit, 369, 11.5, 0.0),
(1316, cash, 386, 52.5, 0.0),
(1317, cash, 636, 72.5, 0.0),
(1318, debit, 520, 96.5, 0.0),
(1319, credit card, 825, 47.0, 0.0),
(1320, cash, 928, 59.0, 0.0),
(1321, debit, 778, 11.5, 0.0),
(1322, debit, 575, 24.0, 0.0),
(1323, debit, 311, 106.5, 0.0),
(1324, credit, 362, 25.0, 0.0),
(1325, cash, 204, 55.0, 0.0),
(1326, cash, 548, 33.25, 0.0),
(1326, debit, 548, 33.25, 0.0),
(1327, cash, 536, 91.5, 0.0),
(1328, debit, 903, 92.0, 0.0),
(1329, debit, 362, 23.0, 0.0),
(1330, cash, 824, 99.0, 0.0),
(1331, debit, 252, 81.0, 0.0),
(1332, debit, 941, 14.50, 0.0),
(1332, debit, 941, 14.50, 0.0),
(1333, debit, 266, 13.5, 0.0),
(1334, cash, 464, 21.25, 0.0),
(1334, debit, 464, 21.25, 0.0),
(1335, credit, 289, 5.25, 0.0),
(1335, credit, 289, 5.25, 0.0),
(1336, credit, 538, 112.5, 0.0),
(1337, debit, 370, 60.0, 0.0),
(1338, credit card, 882, 52.5, 0.0),
(1339, cash, 182, 11.5, 0.0),
(1340, debit, 502, 24.00, 0.0),
(1340, cash, 502, 24.00, 0.0),
(1341, credit card, 425, 10.5, 0.0),
(1342, cash, 631, 11.5, 0.0),
(1343, debit, 56, 4.75, 0.0),
(1343, debit, 56, 4.75, 0.0),
(1344, debit, 303, 41.50, 0.0),
(1344, debit, 303, 41.50, 0.0),
(1345, cash, 445, 4.0, 0.0),
(1346, cash, 907, 23.0, 0.0),
(1347, cash, 47, 34.25, 0.0),
(1347, debit, 47, 34.25, 0.0),
(1348, credit card, 106, 76.5, 0.0),
(1349, credit card, 109, 49.0, 0.0),
(1350, credit card, 629, 13.5, 0.0),
(1351, cash, 58, 135.0, 0.0),
(1352, cash, 407, 13.5, 0.0),
(1353, cash, 23, 13.5, 0.0),
(1354, debit, 677, 12.5, 0.0),
(1355, credit card, 5, 23.0, 0.0),
(1356, credit, 957, 155.0, 0.0),
(1357, cash, 290, 16.60, 2.00),
(1357, credit, 290, 16.60, 2.00),
(1357, cash, 290, 16.60, 2.00),
(1357, debit, 290, 16.60, 2.00),
(1357, cash, 290, 16.60, 2.00),
(1358, credit card, 616, 14.5, 0.0),
(1359, credit card, 357, 88.0, 0.0),
(1360, credit, 743, 122.5, 0.0),
(1361, cash, 582, 55.50, 0.0),
(1361, cash, 582, 55.50, 0.0),
(1362, cash, 389, 37.50, 0.0),
(1362, cash, 389, 37.50, 0.0),
(1363, debit, 512, 83.0, 0.0),
(1364, credit, 681, 10.5, 0.0),
(1365, cash, 109, 28.50, 0.0),
(1365, cash, 109, 28.50, 0.0),
(1366, credit, 891, 21.00, 0.0),
(1366, cash, 891, 21.00, 0.0),
(1367, debit, 653, 20.50, 0.0),
(1367, debit, 653, 20.50, 0.0),
(1368, credit, 759, 9.5, 0.0),
(1369, credit card, 828, 113.0, 0.0),
(1370, credit card, 127, 64.0, 0.0),
(1371, debit, 271, 77.5, 0.0),
(1372, credit card, 28, 75.5, 0.0),
(1373, credit card, 222, 138.5, 0.0),
(1374, credit card, 502, 21.0, 0.0),
(1375, debit, 156, 105.5, 0.0),
(1376, debit, 846, 44.0, 0.0),
(1377, credit card, 610, 128.0, 0.0),
(1378, credit card, 522, 12.5, 0.0),
(1379, credit card, 607, 113.0, 0.0),
(1380, credit, 25, 105.0, 0.0),
(1381, cash, 658, 38.0, 0.0),
(1382, cash, 834, 26.50, 0.0),
(1382, debit, 834, 26.50, 0.0),
(1383, debit, 973, 27.67, 3.33),
(1383, credit, 973, 27.67, 3.33),
(1383, debit, 973, 27.67, 3.33),
(1384, credit, 851, 122.5, 0.0),
(1385, cash, 511, 81.0, 0.0),
(1386, credit card, 181, 135.0, 0.0),
(1387, debit, 54, 27.0, 0.0),
(1388, credit, 549, 10.50, 0.0),
(1388, credit, 549, 10.50, 0.0),
(1389, cash, 302, 11.50, 0.0),
(1389, cash, 302, 11.50, 0.0),
(1390, debit, 799, 23.0, 0.0),
(1391, cash, 9, 31.75, 0.0),
(1391, debit, 9, 31.75, 0.0),
(1392, debit, 418, 12.5, 0.0),
(1393, debit, 403, 31.5, 0.0),
(1394, cash, 97, 23.0, 0.0),
(1395, cash, 435, 32.5, 0.0),
(1396, cash, 470, 33.17, 3.33),
(1396, cash, 470, 33.17, 3.33),
(1396, cash, 470, 33.17, 3.33),
(1397, cash, 594, 5.25, 0.0),
(1397, cash, 594, 5.25, 0.0),
(1398, debit, 843, 50.0, 0.0),
(1399, credit card, 801, 38.5, 0.0),
(1400, cash, 258, 13.5, 0.0),
(1401, cash, 750, 12.5, 0.0),
(1402, debit, 773, 37.00, 0.0),
(1402, debit, 773, 37.00, 0.0),
(1403, debit, 994, 81.5, 0.0),
(1404, credit card, 117, 12.5, 0.0),
(1405, credit, 511, 95.5, 0.0),
(1406, credit, 550, 14.25, 0.0),
(1406, debit, 550, 14.25, 0.0),
(1407, credit card, 209, 105.0, 0.0),
(1408, credit card, 45, 90.0, 0.0),
(1409, cash, 709, 10.00, 0.0),
(1409, debit, 709, 10.00, 0.0),
(1410, cash, 736, 14.5, 0.0),
(1411, cash, 244, 120.0, 0.0),
(1412, debit, 17, 107.0, 0.0),
(1413, cash, 161, 12.5, 0.0),
(1414, debit, 731, 32.25, 0.0),
(1414, debit, 731, 32.25, 0.0),
(1415, cash, 342, 80.0, 0.0),
(1416, credit, 731, 20.0, 0.0),
(1417, debit, 731, 100.0, 0.0),
(1418, cash, 503, 80.0, 0.0),
(1419, cash, 855, 80.0, 0.0),
(1420, debit, 906, 20.0, 0.0),
(1421, cash, 924, 100.0, 0.0),
(1422, credit, 206, 60.0, 0.0),
(1423, cash, 550, 33.33, 3.33),
(1423, cash, 550, 33.33, 3.33),
(1423, cash, 550, 33.33, 3.33),
(1424, debit, 647, 20.0, 0.0),
(1425, debit, 982, 107.0, 0.0),
(1426, credit card, 162, 88.5, 0.0),
(1427, cash, 643, 95.0, 0.0),
(1428, debit, 247, 14.17, 3.33),
(1428, cash, 247, 14.17, 3.33),
(1428, credit, 247, 14.17, 3.33),
(1429, debit, 949, 27.00, 0.0),
(1429, debit, 949, 27.00, 0.0),
(1430, debit, 575, 3.50, 0.0),
(1430, debit, 575, 3.50, 0.0),
(1431, cash, 526, 107.5, 0.0),
(1432, credit, 13, 6.25, 0.0),
(1432, cash, 13, 6.25, 0.0),
(1433, cash, 831, 14.5, 0.0),
(1434, credit card, 49, 27.0, 0.0),
(1435, cash, 950, 38.00, 0.0),
(1435, cash, 950, 38.00, 0.0),
(1436, credit, 548, 100.0, 0.0),
(1437, credit card, 859, 29.5, 0.0),
(1438, debit, 558, 12.5, 0.0),
(1439, debit, 610, 7.25, 0.0),
(1439, credit, 610, 7.25, 0.0),
(1440, credit, 427, 118.5, 0.0),
(1441, cash, 630, 17.38, 2.50),
(1441, credit, 630, 17.38, 2.50),
(1441, cash, 630, 17.38, 2.50),
(1441, debit, 630, 17.38, 2.50),
(1442, debit, 253, 78.5, 0.0),
(1443, credit card, 818, 87.0, 0.0),
(1444, debit, 378, 86.5, 0.0),
(1445, debit, 573, 101.0, 0.0),
(1446, credit, 599, 72.0, 0.0),
(1447, credit, 170, 30.00, 0.0),
(1447, cash, 170, 30.00, 0.0),
(1448, debit, 56, 87.0, 0.0),
(1449, credit card, 299, 13.5, 0.0),
(1450, cash, 364, 66.0, 0.0),
(1451, cash, 636, 36.25, 0.0),
(1451, credit, 636, 36.25, 0.0),
(1452, debit, 73, 29.0, 0.0),
(1453, credit card, 40, 12.5, 0.0),
(1454, credit card, 996, 87.0, 0.0),
(1455, debit, 881, 69.0, 0.0),
(1456, debit, 296, 55.5, 0.0),
(1457, credit, 871, 18.63, 2.50),
(1457, cash, 871, 18.63, 2.50),
(1457, debit, 871, 18.63, 2.50),
(1457, cash, 871, 18.63, 2.50),
(1458, debit, 83, 20.0, 0.0),
(1459, debit, 297, 23.00, 0.0),
(1459, credit, 297, 23.00, 0.0),
(1460, debit, 83, 10.5, 0.0),
(1461, credit, 245, 19.67, 3.33),
(1461, credit, 245, 19.67, 3.33),
(1461, credit, 245, 19.67, 3.33),
(1462, cash, 227, 49.75, 0.0),
(1462, cash, 227, 49.75, 0.0),
(1463, cash, 586, 11.5, 0.0),
(1464, credit card, 743, 9.5, 0.0),
(1465, cash, 84, 111.0, 0.0),
(1466, cash, 460, 7.67, 3.33),
(1466, credit, 460, 7.67, 3.33),
(1466, cash, 460, 7.67, 3.33),
(1467, credit card, 383, 74.5, 0.0),
(1468, credit card, 663, 21.0, 0.0),
(1469, credit, 624, 7.60, 2.00),
(1469, debit, 624, 7.60, 2.00),
(1469, credit, 624, 7.60, 2.00),
(1469, cash, 624, 7.60, 2.00),
(1469, debit, 624, 7.60, 2.00),
(1470, debit, 382, 84.0, 0.0),
(1471, cash, 193, 17.75, 0.0),
(1471, cash, 193, 17.75, 0.0),
(1472, debit, 427, 36.50, 0.0),
(1472, debit, 427, 36.50, 0.0),
(1473, credit, 515, 92.5, 0.0),
(1474, cash, 475, 12.5, 0.0),
(1475, credit, 632, 23.0, 0.0),
(1476, cash, 524, 14.80, 2.00),
(1476, credit, 524, 14.80, 2.00),
(1476, cash, 524, 14.80, 2.00),
(1476, credit, 524, 14.80, 2.00),
(1476, cash, 524, 14.80, 2.00),
(1477, credit, 311, 42.50, 0.0),
(1477, debit, 311, 42.50, 0.0),
(1478, debit, 973, 15.80, 2.00),
(1478, credit, 973, 15.80, 2.00),
(1478, cash, 973, 15.80, 2.00),
(1478, debit, 973, 15.80, 2.00),
(1478, cash, 973, 15.80, 2.00),
(1479, debit, 215, 47.25, 0.0),
(1479, debit, 215, 47.25, 0.0),
(1480, credit card, 561, 12.5, 0.0),
(1481, debit, 407, 13.5, 0.0),
(1482, credit card, 144, 12.5, 0.0),
(1483, debit, 919, 12.5, 0.0),
(1484, credit card, 694, 121.0, 0.0),
(1485, debit, 41, 12.50, 0.0),
(1485, debit, 41, 12.50, 0.0),
(1486, cash, 275, 57.00, 0.0),
(1486, credit, 275, 57.00, 0.0),
(1487, credit card, 65, 21.0, 0.0),
(1488, debit, 530, 26.75, 0.0),
(1488, cash, 530, 26.75, 0.0),
(1489, debit, 151, 9.5, 0.0),
(1490, cash, 557, 94.5, 0.0),
(1491, cash, 971, 58.0, 0.0),
(1492, cash, 498, 10.5, 0.0),
(1493, cash, 489, 44.5, 0.0),
(1494, debit, 218, 6.67, 3.33),
(1494, debit, 218, 6.67, 3.33),
(1494, debit, 218, 6.67, 3.33),
(1495, credit card, 824, 71.0, 0.0),
(1496, credit card, 814, 79.5, 0.0),
(1497, credit, 769, 14.0, 0.0),
(1498, debit, 787, 25.0, 0.0),
(1499, credit, 547, 4.17, 3.33),
(1499, debit, 547, 4.17, 3.33),
(1499, credit, 547, 4.17, 3.33),
(1500, cash, 367, 25.0, 0.0),
(1501, cash, 442, 6.75, 0.0),
(1501, cash, 442, 6.75, 0.0),
(1502, cash, 636, 43.50, 0.0),
(1502, cash, 636, 43.50, 0.0),
(1503, cash, 91, 115.5, 0.0),
(1504, debit, 641, 28.75, 0.0),
(1504, debit, 641, 28.75, 0.0),
(1505, credit, 163, 27.0, 0.0),
(1506, cash, 924, 12.5, 0.0),
(1507, cash, 89, 14.50, 0.0),
(1507, debit, 89, 14.50, 0.0),
(1508, debit, 473, 25.0, 0.0),
(1509, cash, 211, 40.5, 0.0),
(1510, debit, 396, 70.5, 0.0),
(1511, credit card, 139, 11.5, 0.0),
(1512, cash, 283, 33.50, 0.0),
(1512, credit, 283, 33.50, 0.0),
(1513, credit, 229, 67.0, 0.0),
(1514, debit, 22, 41.25, 0.0),
(1514, cash, 22, 41.25, 0.0),
(1515, cash, 252, 28.25, 0.0),
(1515, debit, 252, 28.25, 0.0),
(1516, cash, 105, 11.5, 0.0),
(1517, cash, 298, 43.75, 0.0),
(1517, debit, 298, 43.75, 0.0),
(1518, cash, 455, 9.5, 0.0),
(1519, debit, 254, 26.75, 0.0),
(1519, cash, 254, 26.75, 0.0),
(1520, credit card, 574, 66.5, 0.0),
(1521, debit, 29, 12.5, 0.0),
(1522, credit, 358, 121.0, 0.0),
(1523, debit, 307, 76.5, 0.0),
(1524, debit, 19, 42.33, 3.33),
(1524, cash, 19, 42.33, 3.33),
(1524, cash, 19, 42.33, 3.33),
(1525, cash, 152, 38.00, 0.0),
(1525, credit, 152, 38.00, 0.0),
(1526, cash, 787, 55.0, 0.0),
(1527, debit, 208, 75.0, 0.0),
(1528, debit, 406, 8.75, 0.0),
(1528, debit, 406, 8.75, 0.0),
(1529, debit, 634, 89.0, 0.0),
(1530, credit card, 318, 16.0, 0.0),
(1531, debit, 312, 22.0, 0.0),
(1532, credit card, 566, 69.0, 0.0),
(1533, cash, 504, 33.00, 0.0),
(1533, cash, 504, 33.00, 0.0),
(1534, debit, 478, 24.00, 0.0),
(1534, cash, 478, 24.00, 0.0),
(1535, debit, 576, 27.67, 3.33),
(1535, cash, 576, 27.67, 3.33),
(1535, credit, 576, 27.67, 3.33),
(1536, credit card, 13, 89.0, 0.0),
(1537, debit, 613, 21.0, 0.0),
(1538, credit, 655, 20.25, 2.50),
(1538, cash, 655, 20.25, 2.50),
(1538, cash, 655, 20.25, 2.50),
(1538, credit, 655, 20.25, 2.50),
(1539, credit card, 83, 10.5, 0.0),
(1540, credit card, 413, 57.0, 0.0),
(1541, debit, 268, 61.0, 0.0),
(1542, debit, 82, 14.5, 0.0),
(1543, debit, 362, 94.5, 0.0),
(1544, credit card, 884, 59.0, 0.0),
(1545, cash, 230, 36.0, 0.0),
(1546, cash, 53, 43.5, 0.0),
(1547, credit, 497, 13.5, 0.0),
(1548, debit, 270, 114.0, 0.0),
(1549, credit, 118, 91.0, 0.0),
(1550, credit, 972, 79.0, 0.0),
(1551, credit, 596, 10.50, 0.0),
(1551, cash, 596, 10.50, 0.0),
(1552, cash, 383, 27.0, 0.0),
(1553, debit, 58, 79.0, 0.0),
(1554, cash, 261, 40.25, 0.0),
(1554, credit, 261, 40.25, 0.0),
(1555, debit, 777, 112.0, 0.0),
(1556, credit, 139, 28.25, 0.0),
(1556, debit, 139, 28.25, 0.0),
(1557, debit, 717, 70.0, 0.0),
(1558, credit, 556, 3.63, 2.50),
(1558, credit, 556, 3.63, 2.50),
(1558, credit, 556, 3.63, 2.50),
(1558, cash, 556, 3.63, 2.50),
(1559, debit, 229, 51.75, 0.0),
(1559, credit, 229, 51.75, 0.0),
(1560, credit, 433, 14.5, 0.0),
(1561, credit card, 515, 127.5, 0.0),
(1562, cash, 893, 101.0, 0.0),
(1563, credit card, 392, 27.0, 0.0),
(1564, cash, 822, 38.0, 0.0),
(1565, debit, 703, 40.50, 0.0),
(1565, cash, 703, 40.50, 0.0),
(1566, debit, 238, 6.75, 0.0),
(1566, cash, 238, 6.75, 0.0),
(1567, cash, 239, 68.0, 0.0),
(1568, debit, 79, 45.50, 0.0),
(1568, cash, 79, 45.50, 0.0),
(1569, credit, 272, 9.5, 0.0),
(1570, cash, 760, 5.75, 0.0),
(1570, cash, 760, 5.75, 0.0),
(1571, credit, 325, 9.5, 0.0),
(1572, cash, 87, 32.50, 0.0),
(1572, debit, 87, 32.50, 0.0),
(1573, debit, 921, 46.00, 0.0),
(1573, debit, 921, 46.00, 0.0),
(1574, debit, 853, 10.5, 0.0),
(1575, debit, 36, 13.50, 2.00),
(1575, debit, 36, 13.50, 2.00),
(1575, credit, 36, 13.50, 2.00),
(1575, debit, 36, 13.50, 2.00),
(1575, debit, 36, 13.50, 2.00),
(1576, debit, 92, 28.50, 0.0),
(1576, cash, 92, 28.50, 0.0),
(1577, cash, 223, 41.75, 0.0),
(1577, cash, 223, 41.75, 0.0),
(1578, credit, 518, 115.0, 0.0),
(1579, cash, 718, 13.5, 0.0),
(1580, cash, 875, 6.25, 0.0),
(1580, cash, 875, 6.25, 0.0),
(1581, credit card, 214, 7.0, 0.0),
(1582, credit card, 691, 81.0, 0.0),
(1583, credit, 246, 78.0, 0.0),
(1584, credit, 621, 63.5, 0.0),
(1585, debit, 857, 60.0, 0.0),
(1586, credit card, 734, 31.5, 0.0),
(1587, debit, 466, 7.25, 0.0),
(1587, cash, 466, 7.25, 0.0),
(1588, debit, 554, 61.5, 0.0),
(1589, cash, 608, 76.5, 0.0),
(1590, cash, 897, 75.5, 0.0),
(1591, debit, 115, 53.0, 0.0),
(1592, debit, 755, 17.25, 0.0),
(1592, cash, 755, 17.25, 0.0),
(1593, credit, 844, 69.5, 0.0),
(1594, debit, 860, 78.5, 0.0),
(1595, credit card, 96, 4.0, 0.0),
(1596, cash, 704, 39.25, 0.0),
(1596, debit, 704, 39.25, 0.0),
(1597, cash, 238, 10.50, 0.0),
(1597, credit, 238, 10.50, 0.0),
(1598, cash, 831, 73.5, 0.0),
(1599, debit, 972, 14.5, 0.0),
(1600, debit, 354, 101.0, 0.0),
(1601, debit, 973, 117.5, 0.0),
(1602, credit card, 875, 82.0, 0.0),
(1603, credit card, 757, 112.0, 0.0),
(1604, cash, 73, 18.75, 0.0),
(1604, cash, 73, 18.75, 0.0),
(1605, debit, 818, 6.25, 0.0),
(1605, debit, 818, 6.25, 0.0),
(1606, credit, 121, 14.5, 0.0),
(1607, debit, 677, 140.5, 0.0),
(1608, credit card, 957, 105.5, 0.0),
(1609, credit card, 391, 14.5, 0.0),
(1610, debit, 673, 105.5, 0.0),
(1611, cash, 12, 87.0, 0.0),
(1612, credit card, 16, 13.5, 0.0),
(1613, cash, 970, 106.0, 0.0),
(1614, debit, 891, 6.75, 0.0),
(1614, debit, 891, 6.75, 0.0),
(1615, credit card, 986, 19.0, 0.0),
(1616, credit card, 210, 12.5, 0.0),
(1617, credit, 918, 50.67, 3.33),
(1617, credit, 918, 50.67, 3.33),
(1617, cash, 918, 50.67, 3.33),
(1618, cash, 522, 15.00, 2.50),
(1618, cash, 522, 15.00, 2.50),
(1618, debit, 522, 15.00, 2.50),
(1618, cash, 522, 15.00, 2.50),
(1619, cash, 952, 20.0, 0.0),
(1620, credit, 476, 10.00, 0.0),
(1620, credit, 476, 10.00, 0.0),
(1621, debit, 433, 20.0, 0.0),
(1622, credit, 412, 25.00, 2.50),
(1622, cash, 412, 25.00, 2.50),
(1622, debit, 412, 25.00, 2.50),
(1622, cash, 412, 25.00, 2.50),
(1623, cash, 616, 10.00, 0.0),
(1623, cash, 616, 10.00, 0.0),
(1624, cash, 950, 100.0, 0.0),
(1625, cash, 718, 20.0, 0.0),
(1626, debit, 394, 10.00, 0.0),
(1626, credit, 394, 10.00, 0.0),
(1627, debit, 556, 10.00, 0.0),
(1627, debit, 556, 10.00, 0.0),
(1628, cash, 931, 2.50, 2.00),
(1628, credit, 931, 2.50, 2.00),
(1628, credit, 931, 2.50, 2.00),
(1628, cash, 931, 2.50, 2.00),
(1628, cash, 931, 2.50, 2.00),
(1629, debit, 549, 33.50, 0.0),
(1629, credit, 549, 33.50, 0.0),
(1630, debit, 482, 48.00, 0.0),
(1630, cash, 482, 48.00, 0.0),
(1631, cash, 60, 7.25, 0.0),
(1631, cash, 60, 7.25, 0.0),
(1632, cash, 276, 27.50, 0.0),
(1632, debit, 276, 27.50, 0.0),
(1633, debit, 707, 14.50, 0.0),
(1633, cash, 707, 14.50, 0.0),
(1634, cash, 358, 79.0, 0.0),
(1635, cash, 95, 23.50, 0.0),
(1635, debit, 95, 23.50, 0.0),
(1636, debit, 30, 108.0, 0.0),
(1637, cash, 839, 29.0, 0.0),
(1638, credit, 596, 91.5, 0.0),
(1639, cash, 451, 67.5, 0.0),
(1640, cash, 411, 55.5, 0.0),
(1641, credit card, 632, 73.5, 0.0),
(1642, cash, 702, 75.5, 0.0),
(1643, cash, 89, 92.5, 0.0),
(1644, credit, 755, 20.00, 0.0),
(1644, cash, 755, 20.00, 0.0),
(1645, credit card, 143, 73.5, 0.0),
(1646, credit, 523, 31.00, 0.0),
(1646, cash, 523, 31.00, 0.0),
(1647, credit, 570, 9.5, 0.0),
(1648, credit card, 679, 92.5, 0.0),
(1649, cash, 982, 26.33, 3.33),
(1649, credit, 982, 26.33, 3.33),
(1649, credit, 982, 26.33, 3.33),
(1650, debit, 606, 112.5, 0.0),
(1651, cash, 297, 25.0, 0.0),
(1652, debit, 118, 31.00, 0.0),
(1652, cash, 118, 31.00, 0.0),
(1653, credit, 270, 6.75, 0.0),
(1653, debit, 270, 6.75, 0.0),
(1654, credit card, 539, 128.5, 0.0),
(1655, credit card, 811, 85.0, 0.0),
(1656, credit card, 375, 89.0, 0.0),
(1657, credit, 735, 27.50, 0.0),
(1657, debit, 735, 27.50, 0.0),
(1658, debit, 221, 23.70, 2.00),
(1658, debit, 221, 23.70, 2.00),
(1658, cash, 221, 23.70, 2.00),
(1658, cash, 221, 23.70, 2.00),
(1658, debit, 221, 23.70, 2.00),
(1659, credit card, 328, 106.0, 0.0),
(1660, credit, 955, 82.0, 0.0),
(1661, debit, 162, 104.0, 0.0),
(1662, cash, 771, 70.00, 0.0),
(1662, debit, 771, 70.00, 0.0),
(1663, cash, 795, 7.25, 0.0),
(1663, debit, 795, 7.25, 0.0),
(1664, credit, 846, 75.5, 0.0),
(1665, credit card, 765, 79.0, 0.0),
(1666, credit card, 961, 121.0, 0.0),
(1667, debit, 931, 14.50, 0.0),
(1667, credit, 931, 14.50, 0.0),
(1668, credit card, 582, 112.5, 0.0),
(1669, cash, 596, 14.5, 0.0),
(1670, cash, 628, 6.10, 2.00),
(1670, cash, 628, 6.10, 2.00),
(1670, debit, 628, 6.10, 2.00),
(1670, cash, 628, 6.10, 2.00),
(1670, cash, 628, 6.10, 2.00),
(1671, cash, 713, 11.5, 0.0),
(1672, cash, 143, 23.0, 0.0),
(1673, cash, 571, 28.75, 0.0),
